asof,mm_net,or_net,oi,release,price_asof,price_entry,fwd_1w,fwd_2w,fwd_4w,mm_chg,mm_z_full,mm_z_roll52,mm_pct_rank,or_chg,or_z_full,or_z_roll52,or_pct_rank
2016-11-29,158680,129201,2020026,2016-12-02,45.29,51.7,-0.0036750483558994906,0.004448742746615109,0.03965183752417789,3859.0,-0.4458640620241208,0.012125322516448996,0.37294332723948814,7702.0,-0.1705240733169199,-0.10526811776344591,0.48628884826325414
2016-12-06,242525,135101,2098290,2016-12-09,50.95,51.51,0.008153756552125913,0.009706853038244923,0.04795185400893032,83845.0,0.32730799021226786,1.371259743385596,0.6526508226691042,5900.0,-0.08799539477704489,0.11060019843519303,0.4990859232175503
2016-12-13,274757,148010,2104703,2016-12-16,52.99,51.93,0.0015405353360291585,0.0350471788946658,0.008280377431157282,32232.0,0.6245336039958361,1.8207244296756342,0.7257769652650823,12909.0,0.09257455628587823,0.5823526669245556,0.5539305301645339
2016-12-20,283753,152908,2029807,2016-12-23,52.22,52.01,0.03345510478754088,0.037877331282445637,0.006152662949432841,8996.0,0.7074897228093439,1.8767763422206185,0.7458866544789763,4898.0,0.1610873473855914,0.7537162907080717,0.5795246800731262
2016-12-27,285239,159693,2037834,2016-12-30,52.82,53.75,0.0042790697674417455,-0.02586046511627904,-0.010604651162790746,1486.0,0.7211927900121976,1.8196654539309456,0.7477148080438757,6785.0,0.2559953277064477,0.9892214629870294,0.603290676416819
2017-01-03,279697,160377,2089324,2017-01-06,52.36,53.98,-0.03001111522786215,-0.030566876620970684,-0.0031493145609483575,-5542.0,0.6700875420726178,1.67422567497011,0.7385740402193784,684.0,0.2655630592524264,0.9868631188636641,0.6087751371115173
2017-01-10,278360,155202,2114656,2017-01-13,50.82,52.36,-0.0005729564553094146,0.01566080977845674,0.02826585179526364,-1337.0,0.6577584701680314,1.6107755871079854,0.7349177330895795,-5175.0,0.19317561663482416,0.7701914535584504,0.5904936014625228
2017-01-17,343415,121263,2179122,2017-01-20,52.45,52.33,0.016243072807185177,0.028282056181922588,0.020638257213835276,65055.0,1.257659571703463,2.4743583571930143,0.8574040219378428,-33939.0,-0.2815601157320941,-0.4847081135761679,0.453382084095064
2017-01-24,366821,115702,2151809,2017-01-27,52.38,53.18,0.011846558856713152,0.012410680707032773,0.0152312899586311,23406.0,1.473496712315842,2.620733520055863,0.9085923217550275,-5561.0,-0.35934689223383054,-0.678459937661102,0.4405850091407678
2017-01-31,374464,118228,2181656,2017-02-03,52.75,53.81,0.0005575171901133213,-0.007433562534844951,-0.008920275041813808,7643.0,1.5439762161054862,2.549656687301323,0.9250457038391224,2526.0,-0.3240134274894705,-0.5748479479105509,0.44972577696526506
2017-02-07,352023,124967,2191158,2017-02-10,52.19,53.84,-0.007986627043090722,0.002786032689450213,-0.10754086181277867,-22441.0,1.3370377698745028,2.1219668910514105,0.8793418647166362,6739.0,-0.2297488911029929,-0.33516548670152035,0.473491773308958
