structure,label,trades,wins,winRate,pnl,profitFactor,avgHoldMin,histHitRate
WTI_M1M2,WTI Jul/Aug (M1-M2),28,16,0.571,380.0,1.603,55.7,0.752
WTI_M2M3,WTI Aug/Sep (M2-M3),32,20,0.625,710.0,1.835,152.8,0.752
WTI_FLY,WTI Jul/Aug/Sep fly,26,22,0.846,1840.0,11.824,179.4,0.816
BRENT_M1M2,Brent Aug/Sep (M1-M2),34,21,0.618,970.0,2.01,147.8,0.717
BRENT_M2M3,Brent Sep/Oct (M2-M3),37,21,0.568,290.0,1.446,54.7,0.717
BRENT_FLY,Brent Aug/Sep/Oct fly,35,30,0.857,1990.0,12.056,128.1,0.816
BRENT_WTI,Brent-WTI arb (Aug),27,14,0.519,790.0,3.026,56.1,0.833
